Hole_ID,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
836556,230,0.35,0.83,0.08,S4,sp,Ox,0.3,0.43,0.27,0.03,S4,0.888888889
836557,204,0.45,0.79,0.08,S4,sp,Ox,0.603,0.16,0.563,0.04,S4,0.928952043
836559,233,0.4,0.82,0.25,S4,sp,Ox,0.145,0.18,0.122,0.023,S4,0.81147541
836562,220,0.3,0.84,0.24,S4,sp,Ox,0.143,0.32,0.12,0.023,S4,0.808333333
836563,235,0.37,0.91,0.19,S4,sp,Ox,0.66,0.32,0.603,0.057,S4,0.905472637
836564,106,0.11,0.67,0.07,S4,sp,Ox,1.126,0.06,1.046,0.08,S4,0.923518164
836566,264,0.14,0.88,0.32,S4,sp,Ox,0.799,0.17,0.739,0.06,S4,0.918809202
836567,321,0.17,1.07,0.23,S4,sp,Ox,0.65,0.19,0.588,0.062,S4,0.894557823
836568,286,0.39,1.14,0.28,S4,sp,Ox,0.451,1.31,0.405,0.046,S4,0.886419753
836569,240,0.34,0.95,0.09,S4,sp,Ox,0.558,0.08,0.51,0.048,S4,0.905882353
836571,179,0.22,1.38,0.14,S3,sp,Ox,1.024,0.59,0.94,0.084,S4,0.910638298
836572,66,0.12,0.77,0.08,S3,sp,Ox,1.41,0.15,1.33,0.08,S4,0.939849624
836573,119,0.28,0.77,0.08,S3,sp,Ox,4.776,0.17,4.59,0.186,S4,0.959477124
836574,66,0.12,0.78,0.08,S3,sp,Ox,1.057,0.25,1.001,0.056,S4,0.944055944
836575,202,0.17,1.04,0.1,S3,sp,Ox,2.034,0.35,1.863,0.171,S4,0.90821256
836576,216,0.42,0.69,0.07,S3,sp,Ox,7.463,0.24,7.236,0.227,S4,0.968629077
836577,312,0.72,1.57,0.15,S3,sp,Ox,6.243,0.29,5.98,0.263,S4,0.956020067
836578,213,0.59,1.18,0.12,S3,sp,Ox,5.598,0.51,5.36,0.238,S4,0.955597015
836579,189,0.63,1.09,0.11,S3,sp,Ox,6.626,0.39,6.327,0.299,S4,0.952742216
836580,174,0.5,0.67,0.07,S3,sp,Ox,4.036,0.39,3.837,0.199,S4,0.948136565
